country,year,sex,list,agf,cause_new,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d95p
GBRTENW,2001,1,interm,3,1,181673.46,4620.06,3404.14,5046.84,9656.07,19264.54,40017.91,61288.17,35427.48,2948.28
GBRTENW,2001,1,interm,3,48,353.09,2.98,3.91,5.98,16.96,36.98,95.92,129.33,58.76,2.27
GBRTENW,2001,1,interm,3,49,116.36,0,0,0,2,1,19.99,57.14,35.1,1.13
GBRTENW,2001,1,interm,3,50,1278.37,1.01,6.95,17.92,99.77,177.76,293.85,466.11,202.52,12.48
GBRTENW,2001,1,interm,3,51,26234.76,7.04,54.7,375.25,1436.77,3332.73,7116.75,9713.18,3995.21,203.14
GBRTENW,2001,1,interm,3,52,32780.96,3.92,46.41,390.19,1658.28,3940.85,8255.93,11843.16,6218.94,423.3
GBRTENW,2001,1,interm,3,53,1377.78,11.63,16.63,31.85,66.85,141.85,337.73,495.21,261.27,14.75
GBRTENW,2001,1,interm,3,54,1598.78,4.8,11.8,18.91,60.86,135.83,355.73,616.66,378.3,15.89
GBRTENW,2001,1,interm,3,55,33.61,1.01,3.91,3.99,0,2,4.99,4.03,11.41,2.27
GBRTENW,2001,1,interm,3,56,3904.45,2.81,3.91,9.96,23.94,104.82,464.53,1501.58,1586.37,206.55
GBRTENW,2001,1,interm,3,57,3074.35,84.68,80.61,164.25,249.43,330.7,528.72,898.48,671.68,65.82
GBRTENW,2002,1,interm,3,1,184080.29,4575.61,3239.57,5099.88,9434.81,19775.4,39888.67,63020.51,35765.9,3279.95
GBRTENW,2002,1,interm,3,48,315.69,0,2.87,4.98,18.04,41.02,101.62,112.23,32.69,2.24
GBRTENW,2002,1,interm,3,49,121.9,0,0.97,0,1,7.01,14.94,48.14,44.24,5.6
GBRTENW,2002,1,interm,3,50,1348.49,0.97,3.88,32.36,96.23,157.2,310.77,504.15,230.6,12.33
GBRTENW,2002,1,interm,3,51,25615.42,1.02,60.17,386.71,1356.16,3281.27,6674.89,9558.63,4107.14,189.44
GBRTENW,2002,1,interm,3,52,31638.52,1.93,49.44,452.96,1598.71,3689.31,7629.26,11566.15,6154.19,496.59
GBRTENW,2002,1,interm,3,53,1323.63,15.94,9.69,26.11,61.14,128.15,296.87,476.16,296.12,13.45
GBRTENW,2002,1,interm,3,54,1581.11,6.69,9.63,28.3,73.18,137.07,333.75,599.49,372.83,20.18
GBRTENW,2002,1,interm,3,55,16.18,1.02,2.89,1.02,2.01,0,1.99,3.01,3.11,1.12
GBRTENW,2002,1,interm,3,56,3970.17,3.83,5.81,12.09,33.07,121.06,481.23,1532.25,1544.32,236.52
GBRTENW,2002,1,interm,3,57,3132.64,74.13,85.13,153.56,240.59,383.51,523.96,883.33,699.87,88.56
GBRTENW,2003,1,interm,3,1,186524.28,4467.24,3034.18,5336.67,9339.46,20322.34,39528.6,64723.21,36293.51,3478.93
GBRTENW,2003,1,interm,3,48,301.76,1.86,2.87,5,18.21,36.05,85.23,119.54,30.75,2.24
GBRTENW,2003,1,interm,3,49,117.19,0.93,0.95,1,2.02,3,12.03,40.21,51.48,5.59
GBRTENW,2003,1,interm,3,50,1357.13,1.9,5.73,25.96,88.95,177.38,307.82,449.14,280.13,20.12
GBRTENW,2003,1,interm,3,51,24276.57,6.59,54.48,321.06,1288.61,3082.92,6168.78,9174.07,3936.33,243.7
GBRTENW,2003,1,interm,3,52,31041.85,3.77,50.65,406.87,1555.44,3777.42,7345,11516.83,5919.72,466.16
GBRTENW,2003,1,interm,3,53,1343.55,8.84,11.48,38.91,59.65,140.24,310.83,522.44,237.74,13.41
GBRTENW,2003,1,interm,3,54,1599.8,2.79,12.43,15.95,42.43,141.34,324.87,652.09,382.19,25.71
GBRTENW,2003,1,interm,3,55,25.32,0.97,2.86,2,3.02,4.01,0,2.01,8.21,2.24
GBRTENW,2003,1,interm,3,56,4062.28,6.65,6.71,11.97,35.36,128.36,480.28,1548.11,1607.84,237
GBRTENW,2003,1,interm,3,57,3202.32,82.4,77.55,152.7,260.88,407.86,554.53,881.4,710.11,74.9
GBRTENW,2004,1,interm,3,1,180807.45,4317,2858.39,5200.07,9099.31,19672.53,38249.66,63667.6,34231.35,3511.59
GBRTENW,2004,1,interm,3,48,330,1.98,5.66,7.91,11.98,35.08,86.93,127.35,51.98,1.11
GBRTENW,2004,1,interm,3,49,125.59,0,0.99,1,3.99,6.01,7.99,45.17,50.4,10.02
GBRTENW,2004,1,interm,3,50,1384.19,0,6.8,29.76,87.87,171.49,309.69,491.65,262.42,24.49
GBRTENW,2004,1,interm,3,51,22224.96,5.6,60.17,341.18,1136.87,2810.75,5426.14,8530,3656.03,258.22
GBRTENW,2004,1,interm,3,52,29576.36,4.78,43.2,382.13,1504.47,3563.9,6870.99,11001.81,5703.1,501.98
GBRTENW,2004,1,interm,3,53,1358.92,8.82,13.76,25.72,64.91,144.41,328.7,492.67,262.13,17.81
GBRTENW,2004,1,interm,3,54,1624.36,3.98,13.53,22.74,37.97,123.35,330.67,654.34,416.64,21.15
GBRTENW,2004,1,interm,3,55,22.35,4.1,0.99,0,0,1,3,8.02,4.12,1.11
GBRTENW,2004,1,interm,3,56,3462.21,4.77,4.9,13.99,24.96,104.27,419.56,1346.16,1327.68,215.93
GBRTENW,2004,1,interm,3,57,3213.6,76.17,83.63,166.53,276.57,407.21,502.59,901.27,705.05,94.61
GBRTENW,2005,1,interm,3,1,181797.4,4304.93,2688.51,5093.02,9157.49,20065.41,37577.65,62372.1,36678.86,3859.65
GBRTENW,2005,1,interm,3,48,340.2,1.91,3.69,10.83,13.08,41.17,85.22,126.71,55.37,2.22
GBRTENW,2005,1,interm,3,49,151.32,0,0.97,0,5.02,2.01,10.03,51.33,71.96,10.01
GBRTENW,2005,1,interm,3,50,1441.64,0,10.16,43.33,85.51,194.84,306.76,467.75,309.94,23.35
GBRTENW,2005,1,interm,3,51,20678.47,7.53,37.44,328,1046.32,2599.04,5016.5,7658.27,3702.93,282.44
GBRTENW,2005,1,interm,3,52,29006.75,2.76,42.13,409.79,1378.3,3521.92,6527.21,10711.5,5894.95,518.17
GBRTENW,2005,1,interm,3,53,1379.05,11.37,14.1,35.44,74.44,175.76,279.69,501.88,269.7,16.68
GBRTENW,2005,1,interm,3,54,1590.23,7.46,9.32,20.68,55.33,133.56,294.75,629.74,419.38,20.02
GBRTENW,2005,1,interm,3,55,21.76,3.65,0.92,2.95,1.01,0,2.01,8.05,2.06,1.11
GBRTENW,2005,1,interm,3,56,3652.31,3.69,5.67,13.79,21.13,111.46,382.98,1372.43,1519.89,221.28
GBRTENW,2005,1,interm,3,57,3264.87,72.79,75.1,185.12,246.43,422.84,527.28,883.23,731.99,120.09
GBRTENW,2006,1,interm,3,1,182657.91,4541.8,2894.59,5303.4,9278.3,20580.86,36623.09,61276.33,38248.36,3911.01
GBRTENW,2006,1,interm,3,48,315.58,0,6.13,5.12,7.09,32.18,77.17,127.44,57.12,3.32
GBRTENW,2006,1,interm,3,49,172.37,0,0,1.02,2.03,8.05,16.04,52.21,70.92,22.11
GBRTENW,2006,1,interm,3,50,1499.95,0,8.18,36.82,97.31,204.3,309.71,489.7,328.5,25.42
GBRTENW,2006,1,interm,3,51,19009.1,7.13,46.03,330.32,1043.37,2520.32,4324.83,6887.65,3623.95,225.51
GBRTENW,2006,1,interm,3,52,27739.51,1.02,48.08,382.47,1399.94,3423.49,6063.76,9929.16,5964.31,527.29
GBRTENW,2006,1,interm,3,53,1394.75,9.18,17.39,25.58,83.17,167.97,289.66,505.75,271.74,24.32
GBRTENW,2006,1,interm,3,54,1633.58,2.03,12.28,23.55,52.7,147.92,295.67,638.33,423.52,37.58
GBRTENW,2006,1,interm,3,55,32.71,1.01,7.16,5.12,5.08,3.02,0,2.01,8.21,1.11
GBRTENW,2006,1,interm,3,56,3128.88,2.04,2.05,9.22,27.37,81.48,340.77,1122.31,1332.51,211.14
GBRTENW,2006,1,interm,3,57,3303.66,94.64,90.04,192.43,259.64,381.37,540.23,881.11,735.97,128.23
GBRTENW,2007,1,interm,3,1,183658.85,4512.87,2925.33,5317.9,9057.76,20658.95,36239.52,60543.41,39936.25,4467.19
GBRTENW,2007,1,interm,3,48,311.45,2.05,4.11,9.2,13.15,26.17,81.17,110.36,63.02,2.22
GBRTENW,2007,1,interm,3,49,178.34,0,0,0,4.04,5.04,13.03,58.22,78.07,19.95
GBRTENW,2007,1,interm,3,50,1575.42,0,3.08,28.59,102.36,224.5,296.65,535.73,346.83,37.68
GBRTENW,2007,1,interm,3,51,17850.84,4.11,51.4,319.43,953.06,2433.96,3934.64,6298.01,3582.51,273.73
GBRTENW,2007,1,interm,3,52,27494.93,3.08,51.4,345.8,1357.29,3349.07,5846.86,9818.46,6133.43,589.56
GBRTENW,2007,1,interm,3,53,1387.53,12.36,19.52,31.61,75.97,168.1,264.57,504.61,289.74,21.06
GBRTENW,2007,1,interm,3,54,1726.62,3.08,10.27,22.49,49.63,124.83,296.65,683.25,496.52,39.9
GBRTENW,2007,1,interm,3,55,39.99,7.1,8.22,7.17,3.04,3.03,1,3.01,4.1,3.32
GBRTENW,2007,1,interm,3,56,3245.19,3.1,1.03,8.18,22.3,122.81,347.75,1136.92,1383.68,219.42
GBRTENW,2007,1,interm,3,57,3317.85,103.42,63.72,173.71,254.35,391.65,508.12,881,818.87,123.01
