country,year,sex,list,agf,cause,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d100p,Calculated total,Check total
USA,1979,1,long,4,0,1044958.97,92486.63,32333.20,53141.34,132709.28,232642.20,272436.66,185400.44,42505.68,1303.54,1044958.97,0.00
USA,1979,1,long,4,1,646651.27,90511.83,28119.99,35928.48,79028.9,134618.05,154843.36,101482.43,21505.09,609.67,646647.8,3.47
USA,1979,1,long,4,102,24.49,2.38,1.55,1.71,5.87,5.58,5.55,1.59,0.26,0.01,24.5,-0.01
USA,1979,1,long,4,103,2257.85,71.58,78.54,195.57,451.02,632.78,595.72,205.56,26.9,0.13,2257.8,0.05
USA,1979,1,long,4,104,1532.35,15.23,20.06,92.31,272.93,423.65,390.97,257.88,58.46,0.84,1532.33,0.02
USA,1979,1,long,4,105,7036.81,35.76,136.18,458.40,1187.59,1880.42,1900.16,1200.18,230.39,7.71,7036.79,0.02
USA,1979,1,long,4,106,2496.25,25.59,46.78,84.79,192.34,424.56,720.47,762.62,234.83,4.28,2496.26,-0.01
USA,1979,1,long,4,107,1467.56,8.68,16.77,40.06,92.62,257.44,456.47,444.66,145.25,5.71,1467.66,-0.10
USA,1979,1,long,4,108,178988.41,270.36,1898.51,9032.19,28592.29,50812.4,53973.20,29055.06,5230.59,121.17,178985.77,2.64
USA,1979,1,long,4,109,3259.88,17.35,61.47,204.33,610.74,939.97,867.70,449.66,106.56,2.1,3259.88,0
USA,1979,1,long,4,110,158438.62,157.28,999.31,4968.15,16729.27,32816.65,47128.08,42572.66,12607.10,465.51,158444.01,-5.39
USA,1979,1,long,4,111,5849.09,178.88,121.11,277.37,763.77,1452.63,1777.78,1042.09,225.06,10.39,5849.08,0.01
USA,1979,1,long,4,112,36956.39,1191.71,832.93,1857.98,4781.94,8378.07,9777.20,7926.05,2135.19,76.02,36957.09,-0.7
USA,1979,2,long,4,0,868882.02,46016.28,15914.56,30287.77,75473.86,139842.22,219802.08,249321.67,88279.71,3943.87,868882.02,0
USA,1979,2,long,4,1,528695.73,44744.71,14300.09,25009.21,56951.54,91716.76,124252.84,127709.31,42260.01,1742.67,528687.14,8.59
USA,1979,2,long,4,102,40.36,1.24,1.91,1.95,7.80,10.07,11.09,5.48,0.79,0.02,40.35,0.01
USA,1979,2,long,4,103,4411.83,61.15,94.70,262.62,619.78,1239.24,1366.66,645.71,118.80,2.89,4411.55,0.28
USA,1979,2,long,4,104,1839.48,9.16,16.02,72.19,161.27,310.52,500.17,568.88,192.61,8.61,1839.43,0.05
USA,1979,2,long,4,105,9662.35,25.61,82.81,257.34,779.20,1623.11,2692.39,3252.39,914.47,34.36,9661.68,0.67
